epoch,avg_reward,avg_pipes,max_pipes,policy_loss,value_loss,entropy,steps,seconds
93,-1.550,0.000,0,0.0905,0.8539,0.4091,343,156.7
94,0.387,0.125,1,0.0526,0.8930,0.4137,417,158.7
95,1.275,0.000,0,0.0455,0.6426,0.4251,457,160.9
96,-1.325,0.125,1,-0.1176,1.2267,0.4418,348,162.6
97,1.675,0.125,1,-0.0504,0.8646,0.4531,468,164.8
98,0.037,0.250,2,-0.0673,1.2935,0.4628,398,166.8
99,-0.725,0.000,0,-0.1290,0.8368,0.4758,377,168.6
100,-0.000,0.000,0,-0.0152,0.7661,0.4787,405,170.6
101,-3.287,0.000,0,-0.1567,0.9398,0.4910,274,172.0
102,0.687,0.000,0,-0.0247,0.7850,0.4910,432,174.0
103,-0.350,0.125,1,0.0661,1.0679,0.4807,386,175.9
104,0.387,0.125,1,0.0452,0.9588,0.4678,416,177.9
105,0.187,0.125,1,0.0911,1.0201,0.4492,409,179.9
106,4.112,0.375,2,0.0782,0.8722,0.4346,555,182.5
107,-2.512,0.000,0,-0.0301,0.9204,0.4193,306,184.0
108,0.262,0.000,0,0.0373,0.7894,0.4165,415,186.0
109,-1.725,0.000,0,0.0002,0.9042,0.4214,337,187.6
110,1.825,0.000,0,-0.0437,0.7674,0.4372,479,189.9
111,0.787,0.000,0,-0.0349,0.8112,0.4432,437,192.0
112,-2.250,0.000,0,-0.0293,0.9354,0.4448,316,193.6
113,1.750,0.125,1,-0.0217,0.8213,0.4497,471,195.8
114,-1.813,0.000,0,-0.0307,0.9013,0.4414,334,197.4
115,1.350,0.000,0,0.0810,0.7247,0.4274,460,199.8
116,-0.725,0.000,0,0.0364,0.7616,0.4223,377,201.8
117,-0.963,0.000,0,0.0971,0.7979,0.4108,366,203.7
118,-0.075,0.125,1,0.0875,0.7887,0.4107,398,205.9
119,-1.175,0.125,1,0.0220,0.9519,0.4164,354,207.8
120,3.487,0.250,1,0.0418,0.6110,0.4230,535,210.8
121,0.737,0.000,0,0.0225,0.6588,0.4286,436,213.2
122,3.662,0.125,1,-0.0054,0.6855,0.4392,547,216.2
123,-2.463,0.125,1,-0.0610,1.4104,0.4517,303,218.0
124,-0.288,0.125,1,-0.1008,1.1901,0.4795,390,220.3
125,-0.813,0.000,0,-0.1090,0.8216,0.5049,372,222.6
126,-2.900,0.000,0,-0.2214,0.9970,0.5254,289,224.2
127,-1.513,0.000,0,-0.1351,0.8663,0.5375,344,226.2
128,-2.713,0.000,0,-0.1167,0.9750,0.5435,299,227.9
129,-2.112,0.000,0,-0.0551,0.8654,0.5437,322,229.9
130,-2.763,0.000,0,0.0488,0.9545,0.5360,294,231.6
131,-0.988,0.125,1,0.1059,0.9683,0.5239,361,233.8
132,0.162,0.000,0,0.0073,0.8293,0.5125,412,236.1
133,-1.350,0.000,0,-0.0050,0.8877,0.4902,351,238.2
134,-3.862,0.000,0,-0.0328,0.9567,0.4680,252,239.6
135,-1.763,0.000,0,0.0263,0.8734,0.4439,336,241.6
136,0.162,0.125,1,0.0190,0.8852,0.4276,407,243.9
137,-3.138,0.000,0,0.0334,0.9572,0.4077,280,245.5
138,-1.125,0.125,1,0.0586,0.9172,0.3961,355,247.6
139,-3.312,0.000,0,-0.0308,0.9087,0.3945,273,249.3
140,-0.750,0.125,1,0.0457,0.8668,0.3999,371,251.5
141,-1.863,0.000,0,-0.0305,0.9803,0.4153,332,253.5
142,-3.013,0.000,0,0.0129,0.9228,0.4192,285,255.2
143,-1.913,0.000,0,-0.0303,0.8459,0.4180,330,257.0
144,-2.613,0.000,0,0.0059,0.8968,0.4240,301,258.7
145,1.800,0.250,2,0.0676,1.0185,0.4389,468,261.4
146,-2.875,0.000,0,0.0995,0.8211,0.4313,291,263.0
147,0.675,0.000,0,-0.0208,0.7393,0.4558,433,265.4
148,-0.825,0.000,0,-0.0055,0.8722,0.4532,373,267.5
149,1.087,0.000,0,0.0703,0.7271,0.4451,449,270.1
150,0.750,0.125,1,-0.0051,1.0089,0.4427,432,272.5
151,0.787,0.000,0,0.0505,0.7593,0.4342,437,274.9
152,1.437,0.000,0,-0.0256,0.6778,0.4270,463,277.5
153,2.437,0.125,1,0.0970,0.7609,0.4179,498,280.2
154,0.575,0.000,0,0.0555,0.7493,0.4213,427,282.6
155,-1.300,0.125,1,-0.0090,1.1905,0.4230,349,284.6
156,2.450,0.125,1,-0.0341,0.8401,0.4421,498,287.4
157,0.937,0.000,0,-0.0799,0.6886,0.4507,442,289.9
158,0.150,0.000,0,-0.0780,0.7637,0.4572,412,292.3
159,-0.125,0.000,0,-0.1190,0.7559,0.4723,402,294.5
160,0.050,0.000,0,-0.0089,0.7481,0.4784,407,296.8
161,2.962,0.125,1,0.0470,0.5881,0.4733,519,299.7
